geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;16:31:25.411;42029.68848855324;30.3415625;60.0759864;48;gps;3;78.7;1.601;971.367
geo;16:31:26.427;42029.6885003125;30.341564;60.0759901;47;gps;3;66.2;1.25;972.637
geo;16:31:27.428;42029.688511898144;30.3415565;60.0759882;47;gps;3;0;1;973.638
geo;16:31:28.411;42029.68852327546;30.3415588;60.0759896;47;gps;4;0;1;974.621
geo;16:31:29.442;42029.68853520833;30.3415613;60.0759916;47;gps;4;0;1;975.652
geo;16:31:30.416;42029.688546481484;30.3415695;60.0759958;47;gps;4;44.3;1.414;977.029
geo;16:31:31.425;42029.68855815972;30.3415855;60.0760165;48;gps;4;24.5;2.693;979.746
geo;16:31:32.409;42029.68856954861;30.3415551;60.0760506;48;gps;4;341.9;3.64;983.328
geo;16:31:33.408;42029.68858111111;30.3414895;60.0760755;47;gps;4;307.1;4.366;987.69
geo;16:31:34.413;42029.688592743056;30.3413875;60.0761122;45;gps;4;296.2;5.836;993.555
geo;16:31:35.415;42029.68860434028;30.3412618;60.0761446;43;gps;4;291;7.814;1001.385
geo;16:31:36.397;42029.68861570602;30.341106;60.0761795;43;gps;5;290.9;9.552;1010.765
geo;16:31:37.427;42029.688627627314;30.3409144;60.0762248;41;gps;5;290.3;11.294;1022.397
geo;16:31:38.397;42029.68863885417;30.3407147;60.076267;41;gps;5;292.1;12.291;1034.32
geo;16:31:39.422;42029.688650717595;30.3405035;60.0763126;42;gps;5;291.5;13.038;1047.684
geo;16:31:40.441;42029.68866251157;30.3402815;60.0763537;42;gps;6;291.6;13.786;1061.732
geo;16:31:41.397;42029.688673576384;30.340051;60.0763994;42;gps;5;290.9;14.534;1075.626
geo;16:31:42.410;42029.68868530093;30.3398165;60.0764368;43;gps;6;291.1;14.036;1089.845
geo;16:31:43.417;42029.688696956015;30.3395955;60.076476;43;gps;6;290.5;13.537;1103.476
geo;16:31:44.432;42029.6887087037;30.3393909;60.0765156;44;gps;7;291.2;13.038;1116.71
geo;16:31:45.395;42029.68871984954;30.339195;60.0765542;45;gps;7;290.5;12.291;1128.546
geo;16:31:46.404;42029.68873152778;30.3390187;60.07659;46;gps;7;291.6;11.294;1139.942
geo;16:31:47.415;42029.68874322917;30.3388378;60.076659;46;gps;7;292.9;11.294;1151.36
geo;16:31:48.439;42029.68875508102;30.3386381;60.0767002;45;gps;7;291.3;12.291;1163.946
geo;16:31:49.388;42029.68876606481;30.3384271;60.076758;44;gps;7;291.4;12.789;1176.083
geo;16:31:50.390;42029.68877766204;30.3382061;60.0768071;45;gps;7;291.5;13.537;1189.647
geo;16:31:51.398;42029.688789328706;30.3379567;60.0768534;44;gps;7;291.8;14.285;1204.046
geo;16:31:52.399;42029.68880091435;30.3376924;60.0769061;45;gps;7;292.2;15.033;1219.094
geo;16:31:53.415;42029.688812673616;30.337445;60.0769499;46;gps;7;291;15.033;1234.367
geo;16:31:54.443;42029.68882457176;30.3371884;60.0769892;46;gps;7;289.3;15.033;1249.821
geo;16:31:55.400;42029.68883564815;30.3369151;60.0770341;46;gps;8;289.1;15.033;1264.208
geo;16:31:56.417;42029.68884741898;30.3366715;60.0770818;47;gps;10;289.7;14.784;1279.243
geo;16:31:57.409;42029.68885890047;30.3364196;60.0771348;46;gps;9;292.1;14.534;1293.661
geo;16:31:58.402;42029.68887039352;30.3361653;60.077195;46;gps;10;293.2;14.784;1308.342
